Producto,Categoría,Precio MXN
AGRIFREN TAB C/10,Medicamentos,29.0
AGUA ESTERIL 1 LT.,Soluciones,61.0
AGUA ESTERIL 500 ML,Soluciones,35.0
AGUA INYECTABLE PISA 500 ML,Medicamentos,52.0
AGUJA INSULINA 27G X13MM C/100,Curación,91.0
AGUJA NEGRA 22G X25MM C/100,Curación,91.0
AGUJAS 18GX32MM NIPRO C/100,Curación,89.0
AGUJAS 27GX13MM NIPRO C/100,Curación,89.0
ALCOHOL DESNATURALIZADO 70% 1 LT.,Curación,69.0
ALCOHOL ROJO 96% 1 LT.,Curación,110.0
ALGODON TORUNDA 500 G.,Curación,110.0
AMOXICILINA 500 MG TAB C/12,Medicamentos,22.0
APOSITO ESTERIL,Curación,20.0
ARDOSONS CAP C/20,Medicamentos,72.0
ASPIRINA PROTECT 100 MG C/28,Medicamentos,225.0
AZITROMICINA 500MG TAB C/3,Medicamentos,30.0
BATA PARA PACIENTE DESCH. C/10,Protección,145.0
BONADOXINA GOTAS 15 ML,Medicamentos,26.0
BULTO DE CX DESECHABLE MAYOR,Quirúrgico,280.0
BUTILHIOSCINA 20 MG C/ 3 AMP,Medicamentos,34.0
BUTILHIOSCINA/IBUPROFENO C/10 TAB,Medicamentos,107.0
CABESTRILLO G,Ortopedia,88.0
CAMPO ESTERIL 90X90 CM PIEZA,Medicamentos,16.0
CANULA NASAL ADULTO,Respiratorio y terapia,24.5
CARIDOXEN 200/250 MG C/30,Medicamentos,95.0
CARISOPRADOL/NAPROXENO C/30,Medicamentos,120.0
CEFALEXINA 500 MG C/20,Medicamentos,48.0
CEFTRIAXONA 1GR AMP,Medicamentos,23.0
CELECOXIB 200 MG C/10,Medicamentos,43.0
CELECOXIB 200 MG C/20,Medicamentos,86.25
CELECOXIB 200 MG C/30,Medicamentos,110.0
CINTA MICROPORE 1.25CM CAJA C/24,Curación,139.0
CINTA MICROPORE 2.5 CM CAJA C/12,Curación,168.0
CLAMOXIN 875 MG C/10 TAB,Medicamentos,76.0
CLONIXINATO DE LISINA 100 MG C/5 AMP,Medicamentos,37.0
CLORZOXAZONA/PARACETAMOL 300/225 C/30 TAB,Medicamentos,73.0
COBEDINA NS C/10 TAB,Medicamentos,15.0
CUBREBOCAS AMBRIDERM C/100,Protección,100.0
CUBREBOCAS TRICAPA C/50,Medicamentos,123.0
DEXAMETAZONA 8 MG AMP,Medicamentos,11.0
DICLOFENACO 100MG C/20 TAB,Medicamentos,10.0
EPINEFRINA 1MG/1ML,Medicamentos,20.0
EQUIPO PARA VENOCLISIS,Respiratorio y terapia,15.5
ESPAVEN MD C/20 CAPS,Medicamentos,257.0
FAZOLIN (NAFAZOLINA) OFT. 15 ML 1MG/ML,Medicamentos,28.0
FERULA MOLDEABLE.,Ortopedia,300.0
GABAPENTINA 300MG C/15 CAPS,Medicamentos,29.0
GASA 10X10 C/200,Curación,170.0
GASA ESTERIL 10×10 C/100,Curación,140.0
GASA ESTERIL C/100,Curación,129.0
GASA ESTERIL PAQ. INDIVIDUAL C/100,Curación,135.0
GASA SECA 10×10 C /100,Curación,150.0
GEL ANTIBACTERIAL 500 ML C/DISPENSADOR,Protección,74.0
GRANEODIN B C/24 TAB,Medicamentos,160.0
GUANTE DE EXPLORACION ESTERIL M C/100,Protección,179.0
GUANTE DE EXPLORACION M C/100,Protección,129.0
"GUANTE NITRILO CH,M,XL",Protección,225.0
HIALURONATO DE SODIO OFT. 15 ML 4MG/ML,Medicamentos,89.0
HISOPOS ALGODON C/300,Curación,52.0
HOJA DE BISTURI #15 C/100,Quirúrgico,350.0
HUATA ALGODONOSA 10 CM C/20 PIEZAS,Ortopedia,725.0
IBUPROFENO 600 MG TAB C/10,Medicamentos,25.0
IBUPROFENO 800 MG TAB C/10,Medicamentos,29.0
ISODINE 120 ML,Curación,58.0
ISODINE ESPUMA 3.5 LT.,Curación,810.0
ISODINE GALON 3.75 L.,Curación,793.0
ISODINE SOLUCIÓN 3.5 LT.,Curación,989.0
JERINGA 10 ML C/100,Curación,218.0
JERINGA 3 ML C/100,Curación,182.0
JERINGA 3 ML C/100 21X32 NIPRO,Curación,195.0
JERINGA 5 ML C/100,Curación,182.0
JERINGA 5 ML C/100 21X32 NIPRO,Curación,167.0
KETEROLACO 30 MG C/3 AMP,Medicamentos,15.0
KETEROLACO 30 MG C/6 TAB SUBLINGUAL,Medicamentos,15.0
KIT DE PRIMEROS AUXILIOS 13 PIEZAS,Otros,76.0
KIT TORNIQUETE Y TIJERAS,Otros,299.0
LIDOCAINA 5% UNGUENTO 35G.,Medicamentos,29.0
